epoch   recon     ltr    case     attn     div     hit  recode  content        lr  time
   75  0.0040  0.0000  0.0000  -2.7254  0.0534  0.4616  0.0006   0.0077  0.000158  49.8s
   76  0.0039  0.0000  0.0000  -2.7257  0.0535  0.4609  0.0005   0.0079  0.000146  48.6s
   77  0.0039  0.0000  0.0000  -2.7259  0.0535  0.4608  0.0005   0.0103  0.000136  49.6s
   78  0.0040  0.0000  0.0000  -2.7258  0.0534  0.4641  0.0005   0.0094  0.000125  49.6s
   79  0.0039  0.0000  0.0000  -2.7261  0.0535  0.4641  0.0005   0.0091  0.000115  48.5s
   80  0.0039  0.0000  0.0000  -2.7260  0.0533  0.4641  0.0005   0.0142  0.000105  49.7s
   81  0.0039  0.0000  0.0000  -2.7263  0.0534  0.4642  0.0005   0.0166  0.000095  48.5s
   82  0.0044  0.0040  0.0029  -2.7242  0.0526  0.4629  0.0012   0.0191  0.000086  49.6s
   83  0.0041  0.0002  0.0000  -2.7249  0.0528  0.4609  0.0007   0.0063  0.000078  48.6s
   84  0.0039  0.0000  0.0000  -2.7257  0.0531  0.4610  0.0005   0.0068  0.000070  49.8s
   85  0.0039  0.0000  0.0000  -2.7260  0.0532  0.4621  0.0005   0.0068  0.000062  49.7s
   86  0.0039  0.0000  0.0000  -2.7263  0.0534  0.4620  0.0004   0.0079  0.000054  48.6s
   87  0.0039  0.0003  0.0000  -2.7262  0.0532  0.4616  0.0005   0.0129  0.000048  49.7s
   88  0.0039  0.0000  0.0000  -2.7262  0.0532  0.4616  0.0004   0.0098  0.000041  48.5s
   89  0.0039  0.0000  0.0000  -2.7266  0.0534  0.4622  0.0004   0.0079  0.000035  49.8s
   90  0.0039  0.0000  0.0000  -2.7266  0.0534  0.4632  0.0004   0.0064  0.000030  49.7s
   91  0.0039  0.0000  0.0000  -2.7267  0.0534  0.4636  0.0004   0.0065  0.000024  48.5s
   92  0.0039  0.0000  0.0000  -2.7266  0.0533  0.4640  0.0004   0.0073  0.000020  49.6s
   93  0.0038  0.0000  0.0000  -2.7268  0.0535  0.4635  0.0004   0.0064  0.000016  48.6s
   94  0.0038  0.0000  0.0000  -2.7268  0.0535  0.4637  0.0004   0.0064  0.000012  49.8s
   95  0.0038  0.0000  0.0000  -2.7268  0.0535  0.4640  0.0004   0.0053  0.000009  48.5s
   96  0.0038  0.0000  0.0000  -2.7268  0.0534  0.4640  0.0004   0.0059  0.000006  49.6s
   97  0.0038  0.0000  0.0000  -2.7268  0.0534  0.4639  0.0004   0.0053  0.000004  49.7s
   98  0.0038  0.0000  0.0000  -2.7269  0.0535  0.4638  0.0004   0.0053  0.000002  48.6s
   99  0.0038  0.0000  0.0000  -2.7269  0.0535  0.4638  0.0004   0.0054  0.000001  49.7s
  100  0.0038  0.0000  0.0000  -2.7268  0.0534  0.4639  0.0004   0.0054  0.000000  48.5s
