epoch,letter_ce,case_ce,letter_acc,case_acc,recon_mse,recode,content,guide,void,diversity,total,hit_rate,lr
24,0.03739472,0.01491059,0.98924827,0.99615385,0.00837289,0.00670603,0.04133970,-1.28760127,-1.97806323,0.01745236,-3.16015808,0.38690060,0.00087506
25,0.02865460,0.00826104,0.99038463,0.99694056,0.00820060,0.00641459,0.05745708,-1.28742770,-1.97731381,0.01631441,-3.16816771,0.38603896,0.00086448
26,0.03126998,0.01652156,0.99003498,0.99597903,0.00843780,0.00674686,0.05694937,-1.28656130,-1.98083119,0.01723892,-3.15870269,0.39288212,0.00085355
27,0.03120640,0.00484209,0.99134617,0.99860140,0.00801333,0.00628828,0.06452793,-1.28705040,-1.98138013,0.01562067,-3.17019580,0.38531469,0.00084227
28,0.03640238,0.01780855,0.98916086,0.99554197,0.00826808,0.00654860,0.09120574,-1.28698733,-1.97647138,0.01715579,-3.13167244,0.40335914,0.00083066
29,0.03145239,0.01057910,0.99204547,0.99746504,0.00806850,0.00636675,0.05735891,-1.28787760,-1.98162123,0.01695573,-3.16739691,0.40172328,0.00081871
30,0.01512994,0.00721571,0.99449302,0.99807693,0.00750745,0.00567049,0.05731817,-1.28632395,-1.98667044,0.01439105,-3.19442068,0.39112138,0.00080645
31,0.02349448,0.01113048,0.99265736,0.99667833,0.00770051,0.00584717,0.06499316,-1.28725090,-1.98553979,0.01566083,-3.17646065,0.39174575,0.00079389
32,0.02850925,0.00446415,0.99134617,0.99877623,0.00740170,0.00548582,0.03756864,-1.28874459,-1.98437086,0.01436259,-3.19410761,0.39199550,0.00078104
33,0.02112573,0.00317277,0.99344407,0.99912588,0.00721366,0.00527114,0.04655686,-1.28756600,-1.98715796,0.01351654,-3.20114567,0.37944555,0.00076791
34,0.01841055,0.00537253,0.99423078,0.99816434,0.00744024,0.00554140,0.05999891,-1.28804193,-1.98591728,0.01443527,-3.19275979,0.39343157,0.00075452
35,0.03886263,0.02320647,0.98793708,0.99466784,0.00780467,0.00602634,0.04173077,-1.28862306,-1.98480993,0.01523929,-3.16142820,0.39015984,0.00074088
36,0.02098074,0.00707146,0.99204547,0.99807693,0.00753027,0.00565487,0.04315799,-1.28826144,-1.98495412,0.01431130,-3.19608792,0.38533966,0.00072700
37,0.01942499,0.00717897,0.99466784,0.99851399,0.00690843,0.00493766,0.03895694,-1.28909106,-1.98501119,0.01229883,-3.20387489,0.37396354,0.00071289
38,0.01235920,0.00340920,0.99632868,0.99903846,0.00685012,0.00488940,0.03254261,-1.28899285,-1.98693609,0.01097327,-3.22117644,0.35262238,0.00069857
39,0.01726705,0.00141087,0.99458043,0.99938811,0.00680424,0.00480941,0.03126298,-1.28924635,-1.98631192,0.01141798,-3.21821724,0.35222278,0.00068406
40,0.01051020,0.00189691,0.99729022,0.99947553,0.00685686,0.00485543,0.04043324,-1.28895992,-1.98916877,0.01128199,-3.22251068,0.35969031,0.00066937
41,0.01111394,0.00252377,0.99694057,0.99956294,0.00654730,0.00456554,0.03464860,-1.28874013,-1.98899385,0.01023845,-3.22542069,0.34133367,0.00065451
42,0.01721107,0.00550789,0.99536714,0.99842658,0.00682293,0.00485200,0.04313756,-1.28869813,-1.98623540,0.01083415,-3.20813671,0.36041459,0.00063950
43,0.01177993,0.00246112,0.99650350,0.99912588,0.00657546,0.00459324,0.03410170,-1.28887966,-1.98898472,0.01026916,-3.22513463,0.34164585,0.00062434
44,0.01605084,0.00204436,0.99562938,0.99965035,0.00645552,0.00432869,0.02499034,-1.28939385,-1.98764736,0.01052627,-3.22514035,0.35132368,0.00060907
45,0.00685606,0.00062670,0.99798951,0.99982518,0.00617467,0.00399606,0.01923665,-1.28974034,-1.98736733,0.00934785,-3.24048802,0.34258242,0.00059369
46,0.01949544,0.00613600,0.99484267,0.99816434,0.00672096,0.00475792,0.04146565,-1.28972330,-1.98621013,0.01029188,-3.20779842,0.35074925,0.00057822
47,0.00840371,0.00420011,0.99763986,0.99912588,0.00608763,0.00388150,0.04485889,-1.28906516,-1.98863077,0.01006127,-3.22263229,0.34599151,0.00056267
48,0.00721093,0.00024362,0.99772728,0.99991259,0.00585092,0.00352484,0.03911694,-1.28912470,-1.98880977,0.00813652,-3.23340917,0.32375125,0.00054705
49,0.01141676,0.00365849,0.99737763,0.99930070,0.00611741,0.00390619,0.03202597,-1.28910992,-1.99016046,0.00861428,-3.22954427,0.32662338,0.00053140
50,0.00831137,0.00416237,0.99729022,0.99921329,0.00594677,0.00370065,0.05516945,-1.28847367,-1.99151879,0.00871919,-3.22156738,0.33113137,0.00051571
51,0.00852297,0.00902183,0.99772728,0.99860140,0.00591548,0.00353315,0.02488898,-1.29002162,-1.98714295,0.00802408,-3.22970257,0.32363886,0.00050000
52,0.00231133,0.00021939,0.99965035,0.99991259,0.00549180,0.00302918,0.01985359,-1.29066530,-1.98732771,0.00681338,-3.25020116,0.30007493,0.00048429
53,0.00281063,0.00008198,0.99912588,1.00000000,0.00538144,0.00279334,0.02285258,-1.29024065,-1.98807893,0.00621426,-3.24961167,0.29366883,0.00046860
54,0.00265756,0.00003630,0.99921329,1.00000000,0.00527476,0.00265788,0.03451004,-1.29004022,-1.98803741,0.00615208,-3.24404406,0.28954795,0.00045295
55,0.00719496,0.00005796,0.99842658,1.00000000,0.00531852,0.00269806,0.01904362,-1.28958390,-1.98974711,0.00603115,-3.24850856,0.30369630,0.00043733
56,0.00325571,0.00453280,0.99842658,0.99938811,0.00546275,0.00290927,0.02180147,-1.28993992,-1.98940560,0.00650518,-3.24577909,0.31535964,0.00042178
57,0.01434469,0.00390411,0.99545455,0.99860140,0.00625246,0.00414106,0.01765707,-1.29048944,-1.98638998,0.00902217,-3.23038641,0.34087163,0.00040631
58,0.00207964,0.00050091,0.99938811,0.99982518,0.00535339,0.00281720,0.02440194,-1.28988640,-1.99046204,0.00689232,-3.25050404,0.30921578,0.00039093
59,0.00162690,0.00006496,0.99956294,1.00000000,0.00509686,0.00249428,0.01686450,-1.28999357,-1.99167886,0.00619860,-3.25775859,0.30032468,0.00037566
60,0.00044102,0.00088698,0.99973776,0.99973776,0.00494946,0.00219986,0.01482392,-1.28979668,-1.99253610,0.00548869,-3.26095482,0.27947053,0.00036050
61,0.00033109,0.00007112,1.00000000,1.00000000,0.00491385,0.00213100,0.02392798,-1.29006080,-1.99064527,0.00548460,-3.25581045,0.28405345,0.00034549
62,0.00024421,0.00001554,0.99991259,1.00000000,0.00474644,0.00187747,0.02143103,-1.28972678,-1.99272842,0.00481002,-3.26004601,0.27169081,0.00033063
63,0.00087993,0.00002524,0.99965035,1.00000000,0.00479336,0.00192920,0.02453138,-1.29013251,-1.99213534,0.00466454,-3.25770989,0.27145355,0.00031594
64,0.00028348,0.00084947,0.99991259,0.99982518,0.00493906,0.00213295,0.02644682,-1.28992341,-1.99284071,0.00535596,-3.25597980,0.28370380,0.00030143
65,0.00154861,0.00023786,0.99947553,0.99982517,0.00474662,0.00180994,0.01272070,-1.29040609,-1.99287570,0.00479103,-3.26378737,0.27696054,0.00028711
66,0.00162696,0.00050743,0.99938811,0.99973776,0.00491105,0.00204329,0.01221623,-1.29071880,-1.99183700,0.00541596,-3.26194300,0.28261738,0.00027300
67,0.00012282,0.00001670,1.00000000,1.00000000,0.00452481,0.00137009,0.00952622,-1.29017427,-1.99342396,0.00428029,-3.26852040,0.25769231,0.00025912
68,0.00132354,0.00012810,0.99973776,0.99991259,0.00468912,0.00171330,0.00830233,-1.29036167,-1.99345711,0.00478174,-3.26703181,0.28444056,0.00024548
69,0.00014223,0.00004825,1.00000000,1.00000000,0.00451565,0.00137516,0.00885853,-1.29097755,-1.99149173,0.00419257,-3.26776616,0.26296204,0.00023209
70,0.00005081,0.00000348,1.00000000,1.00000000,0.00433903,0.00107978,0.00998876,-1.29120572,-1.99083587,0.00381208,-3.26776204,0.25224775,0.00021896
71,0.00004517,0.00000429,1.00000000,1.00000000,0.00433158,0.00105119,0.01120835,-1.29046650,-1.99346216,0.00371230,-3.26917994,0.25610639,0.00020611
72,0.00006715,0.00000445,1.00000000,1.00000000,0.00434033,0.00108759,0.00787025,-1.29026765,-1.99368854,0.00371150,-3.27081006,0.24624126,0.00019355
73,0.00047853,0.00041457,0.99991259,0.99991259,0.00441396,0.00118349,0.00540146,-1.29033221,-1.99380996,0.00402773,-3.27092316,0.24966284,0.00018129
74,0.00004181,0.00000592,1.00000000,1.00000000,0.00424627,0.00091845,0.00580355,-1.29027797,-1.99395668,0.00353515,-3.27258526,0.24260739,0.00016934
75,0.00003993,0.00000575,1.00000000,1.00000000,0.00419329,0.00083792,0.00541037,-1.29036386,-1.99396212,0.00325122,-3.27329269,0.24174575,0.00015773
76,0.00003637,0.00000276,1.00000000,1.00000000,0.00417836,0.00081843,0.00699765,-1.29054826,-1.99377696,0.00311512,-3.27267537,0.23741259,0.00014645
77,0.00004335,0.00000334,1.00000000,1.00000000,0.00419533,0.00085126,0.00494186,-1.29055726,-1.99374895,0.00324395,-3.27349806,0.24092158,0.00013552
78,0.00003176,0.00000302,1.00000000,1.00000000,0.00417199,0.00081087,0.00542983,-1.29111065,-1.99305471,0.00311825,-3.27331457,0.23522727,0.00012494
79,0.00003723,0.00000384,1.00000000,1.00000000,0.00412003,0.00073285,0.00570282,-1.29060828,-1.99358998,0.00306754,-3.27338537,0.23317932,0.00011474
80,0.00002704,0.00000348,1.00000000,1.00000000,0.00407974,0.00067300,0.00628876,-1.29054309,-1.99410403,0.00282004,-3.27389944,0.22383866,0.00010492
81,0.00002671,0.00000469,1.00000000,1.00000000,0.00411305,0.00071149,0.00373441,-1.29063545,-1.99416366,0.00300733,-3.27506865,0.22924575,0.00009549
82,0.00002757,0.00000618,1.00000000,1.00000000,0.00405487,0.00063106,0.00362078,-1.29069727,-1.99402891,0.00276327,-3.27543285,0.22528721,0.00008646
83,0.00002748,0.00001138,1.00000000,1.00000000,0.00403697,0.00059078,0.00367828,-1.29066448,-1.99423132,0.00266549,-3.27572457,0.22397602,0.00007784
84,0.00002490,0.00000323,1.00000000,1.00000000,0.00401639,0.00056547,0.00267348,-1.29073969,-1.99422777,0.00251500,-3.27650573,0.22049201,0.00006963
85,0.00002420,0.00000287,1.00000000,1.00000000,0.00401111,0.00056008,0.00397321,-1.29070699,-1.99437030,0.00252242,-3.27597000,0.21906843,0.00006185
86,0.00002435,0.00000304,1.00000000,1.00000000,0.00399797,0.00054213,0.00287980,-1.29087473,-1.99403120,0.00242408,-3.27647445,0.21634615,0.00005450
87,0.00002357,0.00000305,1.00000000,1.00000000,0.00398315,0.00051388,0.00277944,-1.29082141,-1.99415885,0.00237234,-3.27669455,0.21258741,0.00004759
88,0.00002223,0.00000255,1.00000000,1.00000000,0.00396431,0.00048897,0.00310451,-1.29074985,-1.99437797,0.00229965,-3.27679786,0.21025225,0.00004112
89,0.00002136,0.00000297,1.00000000,1.00000000,0.00396983,0.00050257,0.00351695,-1.29079699,-1.99425485,0.00237494,-3.27642171,0.21178821,0.00003511
90,0.00002418,0.00000305,1.00000000,1.00000000,0.00395088,0.00047852,0.00221691,-1.29083933,-1.99434162,0.00231702,-3.27729883,0.21143856,0.00002956
91,0.00002004,0.00000242,1.00000000,1.00000000,0.00395088,0.00047878,0.00233858,-1.29092199,-1.99427002,0.00230387,-3.27726673,0.21062687,0.00002447
92,0.00002026,0.00000272,1.00000000,1.00000000,0.00393578,0.00045448,0.00228904,-1.29091091,-1.99432021,0.00223317,-3.27744020,0.20937812,0.00001985
93,0.00002082,0.00000254,1.00000000,1.00000000,0.00393337,0.00045140,0.00174091,-1.29097592,-1.99425784,0.00219770,-3.27775749,0.20830420,0.00001571
94,0.00002093,0.00000306,1.00000000,1.00000000,0.00393019,0.00044633,0.00233502,-1.29099323,-1.99431151,0.00217804,-3.27755866,0.20821678,0.00001204
95,0.00002161,0.00000284,1.00000000,1.00000000,0.00392733,0.00044369,0.00172269,-1.29098730,-1.99435488,0.00215677,-3.27792859,0.20767982,0.00000886
96,0.00002170,0.00000299,1.00000000,1.00000000,0.00392867,0.00044114,0.00214687,-1.29098536,-1.99438605,0.00213344,-3.27777004,0.20769231,0.00000616
97,0.00002079,0.00000278,1.00000000,1.00000000,0.00392258,0.00043448,0.00245952,-1.29103040,-1.99425199,0.00213679,-3.27753523,0.20779221,0.00000394
98,0.00002067,0.00000261,1.00000000,1.00000000,0.00392099,0.00043284,0.00200535,-1.29098542,-1.99438883,0.00213100,-3.27786346,0.20764236,0.00000222
99,0.00002045,0.00000237,1.00000000,1.00000000,0.00391894,0.00043155,0.00196154,-1.29100804,-1.99436296,0.00213022,-3.27788670,0.20775475,0.00000099
100,0.00002074,0.00000247,1.00000000,1.00000000,0.00391819,0.00043165,0.00207899,-1.29101160,-1.99436109,0.00212274,-3.27783740,0.20741758,0.00000025
