epoch,letter_ce,case_ce,letter_acc,case_acc,recon_mse,guide,diversity,total,hit_rate,lr
39,0.11392808,0.01710991,0.94747899,0.99431022,0.00570599,-1.29326635,0.00081223,-1.15571013,0.06658914,0.00068406
40,0.11073067,0.01396776,0.95124300,0.99474790,0.00592012,-1.29328504,0.00065096,-1.16201553,0.06775210,0.00066937
41,0.11190735,0.01756658,0.95106793,0.99492297,0.00582667,-1.29305173,0.00098534,-1.15676580,0.06705182,0.00065451
42,0.13125875,0.01767580,0.94704132,0.99352241,0.00631661,-1.29200997,0.00102356,-1.13573524,0.06607643,0.00063950
43,0.09434418,0.01100723,0.95789566,0.99649860,0.00578999,-1.29346623,0.00065778,-1.18166704,0.06656413,0.00062434
44,0.09111575,0.01282651,0.95964636,0.99579832,0.00540298,-1.29383218,0.00044462,-1.18404233,0.06597639,0.00060907
45,0.08385363,0.00900846,0.96244748,0.99702381,0.00530150,-1.29385458,0.00045078,-1.19524021,0.06696429,0.00059369
46,0.08093044,0.00604365,0.96367297,0.99789916,0.00512843,-1.29422274,0.00036553,-1.20175470,0.06773960,0.00057822
47,0.08380622,0.01291665,0.96332283,0.99632353,0.00571760,-1.29270798,0.00161175,-1.18865577,0.06951531,0.00056267
48,0.06400988,0.00761876,0.97120098,0.99789916,0.00543453,-1.29383901,0.00073963,-1.21603619,0.06697679,0.00054705
49,0.06219222,0.00940890,0.96988796,0.99719888,0.00556571,-1.29335003,0.00116278,-1.21502042,0.06630152,0.00053140
50,0.05336072,0.00530618,0.97592787,0.99833683,0.00515661,-1.29379259,0.00027866,-1.22969041,0.06570128,0.00051571
51,0.05711351,0.00581026,0.97400210,0.99772409,0.00498117,-1.29436778,0.00025743,-1.22620540,0.06686425,0.00050000
52,0.04346091,0.00765038,0.97934174,0.99772409,0.00510642,-1.29412225,0.00053311,-1.23737143,0.06703932,0.00048429
53,0.04011216,0.00648895,0.98021709,0.99798669,0.00507780,-1.29429284,0.00065533,-1.24195860,0.06793968,0.00046860
54,0.04460891,0.00291820,0.97925420,0.99886204,0.00514189,-1.29407407,0.00051446,-1.24089061,0.06776461,0.00045295
55,0.04088420,0.00484736,0.97995448,0.99816176,0.00517621,-1.29398712,0.00057173,-1.24250761,0.06785214,0.00043733
56,0.03571473,0.00244540,0.98231793,0.99938725,0.00476332,-1.29431838,0.00027785,-1.25111708,0.06747699,0.00042178
57,0.03799186,0.00542883,0.98179272,0.99798669,0.00471718,-1.29434583,0.00022090,-1.24598706,0.06725190,0.00040631
58,0.03320169,0.00292234,0.98389356,0.99929972,0.00457730,-1.29462006,0.00015662,-1.25376211,0.06797719,0.00039093
59,0.03022800,0.00083548,0.98450630,0.99982493,0.00445869,-1.29498320,0.00013949,-1.25932156,0.06767707,0.00037566
60,0.02857781,0.00036156,0.98503151,1.00000000,0.00438307,-1.29489568,0.00007324,-1.26150001,0.06738946,0.00036050
61,0.03200003,0.00354122,0.98354342,0.99929972,0.00451885,-1.29455232,0.00009561,-1.25439661,0.06713936,0.00034549
62,0.03210387,0.00576926,0.98319328,0.99868697,0.00471958,-1.29462132,0.00009129,-1.25193732,0.06648910,0.00033063
63,0.02781195,0.00128346,0.98625700,0.99973739,0.00436405,-1.29473446,0.00006204,-1.26121297,0.06631403,0.00031594
64,0.02794811,0.00063110,0.98520658,0.99991246,0.00430224,-1.29500417,0.00004236,-1.26208036,0.06642657,0.00030143
65,0.02507897,0.00195310,0.98704482,0.99929972,0.00427823,-1.29499614,0.00005029,-1.26363555,0.06626401,0.00028711
66,0.02776012,0.00137559,0.98660714,0.99964986,0.00431762,-1.29460259,0.00008047,-1.26106879,0.06661415,0.00027300
67,0.02351744,0.00059595,0.98853291,0.99982493,0.00421902,-1.29516587,0.00006118,-1.26677226,0.06628902,0.00025912
68,0.02341574,0.00016265,0.98818277,1.00000000,0.00417338,-1.29490975,0.00004365,-1.26711433,0.06615146,0.00024548
69,0.02144464,0.00007996,0.98949580,1.00000000,0.00414769,-1.29501020,0.00003045,-1.26930747,0.06642657,0.00023209
70,0.02076556,0.00010620,0.98958333,1.00000000,0.00414236,-1.29530519,0.00003079,-1.27026027,0.06648910,0.00021896
71,0.02017302,0.00011820,0.98949580,1.00000000,0.00412091,-1.29511939,0.00003344,-1.27067382,0.06647659,0.00020611
72,0.01974613,0.00007857,0.99107143,1.00000000,0.00410458,-1.29486177,0.00002879,-1.27090370,0.06641407,0.00019355
73,0.01675417,0.00006992,0.99159664,1.00000000,0.00409417,-1.29476719,0.00002378,-1.27382514,0.06631403,0.00018129
74,0.01713781,0.00098093,0.99142157,0.99982493,0.00409667,-1.29496300,0.00002560,-1.27272198,0.06677671,0.00016934
75,0.01587214,0.00010872,0.99203431,1.00000000,0.00410271,-1.29494033,0.00002858,-1.27482817,0.06678922,0.00015773
76,0.01423095,0.00006185,0.99220938,1.00000000,0.00404656,-1.29494834,0.00002141,-1.27658755,0.06678922,0.00014645
77,0.01251092,0.00008256,0.99387255,1.00000000,0.00402969,-1.29511809,0.00002021,-1.27847471,0.06688926,0.00013552
78,0.01148872,0.00005000,0.99448529,1.00000000,0.00401489,-1.29474710,0.00001809,-1.27917540,0.06692677,0.00012494
79,0.01154758,0.00005652,0.99448529,1.00000000,0.00400919,-1.29520515,0.00001447,-1.27957739,0.06692677,0.00011474
80,0.00926441,0.00006033,0.99536064,1.00000000,0.00399159,-1.29494664,0.00001523,-1.28161508,0.06681423,0.00010492
81,0.00877481,0.00003930,0.99588585,1.00000000,0.00398558,-1.29515702,0.00001570,-1.28234164,0.06680172,0.00009549
82,0.00750785,0.00004960,0.99667367,1.00000000,0.00397064,-1.29490778,0.00001296,-1.28336673,0.06651411,0.00008646
83,0.00732514,0.00004930,0.99649860,1.00000000,0.00395647,-1.29507289,0.00001403,-1.28372794,0.06693928,0.00007784
84,0.00757630,0.00004941,0.99623599,1.00000000,0.00395995,-1.29504023,0.00001334,-1.28344123,0.06657663,0.00006963
85,0.00624866,0.00004852,0.99711134,1.00000000,0.00394557,-1.29495158,0.00001225,-1.28469658,0.06663916,0.00006185
86,0.00641431,0.00002748,0.99702381,1.00000000,0.00393692,-1.29496349,0.00001178,-1.28457298,0.06653912,0.00005450
87,0.00581898,0.00004188,0.99737395,1.00000000,0.00393160,-1.29507145,0.00001104,-1.28526796,0.06650160,0.00004759
88,0.00553351,0.00002295,0.99746148,1.00000000,0.00391613,-1.29536878,0.00001127,-1.28588492,0.06647659,0.00004112
89,0.00540899,0.00003419,0.99746148,1.00000000,0.00391303,-1.29523146,0.00001126,-1.28586399,0.06646409,0.00003511
90,0.00501197,0.00002487,0.99833683,1.00000000,0.00390626,-1.29503507,0.00001060,-1.28608138,0.06637655,0.00002956
91,0.00497373,0.00003105,0.99807423,1.00000000,0.00390369,-1.29530370,0.00001053,-1.28638471,0.06643908,0.00002447
92,0.00485642,0.00002597,0.99798669,1.00000000,0.00389697,-1.29526955,0.00000997,-1.28648022,0.06652661,0.00001985
93,0.00464155,0.00002302,0.99833683,1.00000000,0.00389631,-1.29515614,0.00000958,-1.28658569,0.06635154,0.00001571
94,0.00453596,0.00002475,0.99859944,1.00000000,0.00389236,-1.29489545,0.00000949,-1.28643290,0.06657663,0.00001204
95,0.00437401,0.00002173,0.99868697,1.00000000,0.00389018,-1.29514231,0.00000969,-1.28684670,0.06656413,0.00000886
96,0.00431182,0.00002142,0.99851190,1.00000000,0.00388836,-1.29523660,0.00000975,-1.28700524,0.06656413,0.00000616
97,0.00419823,0.00002104,0.99877451,1.00000000,0.00388482,-1.29513413,0.00000968,-1.28702035,0.06652661,0.00000394
98,0.00410858,0.00002096,0.99859944,1.00000000,0.00388495,-1.29500395,0.00000979,-1.28697966,0.06643908,0.00000222
99,0.00412719,0.00002047,0.99877451,1.00000000,0.00388302,-1.29525336,0.00000969,-1.28721300,0.06648910,0.00000099
100,0.00410584,0.00002048,0.99868697,1.00000000,0.00388049,-1.29516795,0.00000963,-1.28715151,0.06653912,0.00000025
