epoch,letter_ce,case_ce,letter_acc,case_acc,recon_mse,recode,content,guide,void,diversity,total,hit_rate,lr
17,0.39067377,0.19197281,0.86092661,0.92578675,0.01071576,0.01005851,0.17625821,-1.28312520,-1.89572820,0.02654832,-2.46075513,0.36023976,0.00093815
18,0.31371026,0.18366417,0.89431822,0.93094409,0.01048428,0.00962097,0.19157851,-1.28146830,-1.91637180,0.03181698,-2.55275419,0.37171578,0.00093037
19,0.24038158,0.12481970,0.91826926,0.95017486,0.00999850,0.00915363,0.17999210,-1.28566680,-1.93627426,0.03674995,-2.71084165,0.40117383,0.00092216
20,0.21938106,0.11489444,0.92683570,0.95472031,0.00976991,0.00883746,0.18007196,-1.28433611,-1.94682283,0.03296345,-2.75527664,0.39720280,0.00091354
21,0.12779037,0.07014601,0.95410843,0.97194059,0.00907649,0.00791395,0.12603360,-1.28424800,-1.95630265,0.03360124,-2.92900580,0.40970280,0.00090451
22,0.09984140,0.07130822,0.96494758,0.97290212,0.00906972,0.00774629,0.13840017,-1.28195311,-1.96180789,0.03034012,-2.95625516,0.40267233,0.00089508
23,0.06110732,0.05181018,0.97596157,0.97989513,0.00859051,0.00709926,0.13294550,-1.28339683,-1.96359089,0.02781279,-3.02409491,0.41338661,0.00088526
24,0.07512212,0.05387972,0.97325178,0.97867136,0.00866413,0.00715365,0.10544200,-1.28515127,-1.97283394,0.02610676,-3.03433782,0.41652098,0.00087506
25,0.05831956,0.05015847,0.97788464,0.98050702,0.00847377,0.00697150,0.10294277,-1.28560387,-1.97054036,0.02390171,-3.05684783,0.42257742,0.00086448
26,0.05358679,0.04496382,0.98024478,0.98208044,0.00828077,0.00665422,0.11518356,-1.28469167,-1.97569299,0.02115861,-3.06814867,0.42091658,0.00085355
27,0.07059644,0.03835307,0.97482520,0.98496505,0.00824335,0.00662205,0.14359531,-1.28261038,-1.97657146,0.02123026,-3.04233903,0.41795704,0.00084227
28,0.04744407,0.03939224,0.97998254,0.98513988,0.00812148,0.00653061,0.12231500,-1.28623521,-1.97090710,0.02056476,-3.07393164,0.42315185,0.00083066
29,0.03350634,0.03444672,0.98671331,0.98627624,0.00776999,0.00605575,0.10364831,-1.28573669,-1.97944607,0.01885203,-3.11272778,0.42518731,0.00081871
30,0.03092858,0.02903807,0.98793708,0.98819932,0.00767410,0.00598582,0.09018887,-1.28675027,-1.97924744,0.01764363,-3.12963310,0.40789211,0.00080645
31,0.03099591,0.03221786,0.98846156,0.98802450,0.00758859,0.00586861,0.08369649,-1.28573380,-1.97978913,0.01692591,-3.13007782,0.41002747,0.00079389
32,0.02507893,0.02757258,0.98924827,0.98854897,0.00725701,0.00541959,0.06449491,-1.28671201,-1.98129967,0.01546579,-3.15497033,0.41101399,0.00078104
33,0.02103088,0.02065932,0.99064687,0.99020981,0.00699427,0.00513541,0.08111573,-1.28605907,-1.98562578,0.01513719,-3.16216993,0.40536963,0.00076791
34,0.03014293,0.02848219,0.98828673,0.98863638,0.00726405,0.00539664,0.05931146,-1.28748246,-1.98193608,0.01509318,-3.15338384,0.39888861,0.00075452
35,0.02663358,0.02140949,0.99108393,0.99213288,0.00718264,0.00533752,0.05521372,-1.28718788,-1.98627463,0.01511602,-3.17017641,0.40345904,0.00074088
36,0.02196052,0.02289841,0.99064687,0.99003498,0.00676505,0.00486243,0.04526287,-1.28772623,-1.98484180,0.01366554,-3.17978464,0.39289461,0.00072700
37,0.02124713,0.01646874,0.99195805,0.99388113,0.00666085,0.00468150,0.04411433,-1.28734849,-1.98947002,0.01255060,-3.19315253,0.38600150,0.00071289
38,0.04117210,0.03128476,0.98741260,0.98811191,0.00719338,0.00532692,0.10811259,-1.28528650,-1.98680401,0.01613057,-3.11692649,0.39606643,0.00069857
39,0.05826594,0.03038765,0.98173079,0.98898603,0.00756463,0.00586460,0.11129430,-1.28583512,-1.98035874,0.01877853,-3.08968537,0.42975774,0.00068406
40,0.01863937,0.01317062,0.99344407,0.99475526,0.00683186,0.00490055,0.09703248,-1.28504844,-1.98599981,0.01380682,-3.16518280,0.42500000,0.00066937
41,0.01932189,0.02234233,0.99344407,0.99169582,0.00654126,0.00458270,0.06610606,-1.28703207,-1.98572736,0.01082858,-3.17608965,0.40736763,0.00065451
42,0.00939771,0.01086817,0.99632868,0.99562938,0.00617808,0.00409075,0.05233274,-1.28656610,-1.98757491,0.01096690,-3.20647303,0.42184066,0.00063950
43,0.01715389,0.01537646,0.99405596,0.99405596,0.00618802,0.00420436,0.04995950,-1.28763229,-1.98791598,0.00997454,-3.19767126,0.42132867,0.00062434
44,0.01073456,0.01149832,0.99615385,0.99597903,0.00593304,0.00385386,0.04029486,-1.28699905,-1.99121330,0.00885083,-3.21719429,0.41670829,0.00060907
45,0.00922679,0.00932620,0.99685315,0.99694057,0.00578566,0.00359144,0.04089307,-1.28759692,-1.99263061,0.00897659,-3.22287432,0.39861389,0.00059369
46,0.00684008,0.00779146,0.99772728,0.99790210,0.00553382,0.00320504,0.03432363,-1.28696395,-1.99338888,0.00812296,-3.23169766,0.38083167,0.00057822
47,0.01339320,0.01170129,0.99589162,0.99632868,0.00573288,0.00349123,0.03270172,-1.28786427,-1.99074267,0.00849496,-3.21944252,0.38374126,0.00056267
48,0.01018689,0.00933149,0.99676574,0.99676574,0.00586253,0.00373547,0.04750197,-1.28822859,-1.98912500,0.00834687,-3.21613936,0.38673826,0.00054705
49,0.00642248,0.00668105,0.99816434,0.99772728,0.00529510,0.00290566,0.04501607,-1.28746720,-1.99254661,0.00746102,-3.22874045,0.38068182,0.00053140
50,0.00373598,0.00314796,0.99912588,0.99895105,0.00502453,0.00250657,0.03524571,-1.28780942,-1.99318487,0.00687279,-3.24208360,0.37149101,0.00051571
51,0.00157390,0.00150686,0.99973776,0.99973776,0.00504066,0.00247220,0.03769493,-1.28807374,-1.99431657,0.00634005,-3.24660917,0.35900350,0.00050000
52,0.01349379,0.00875367,0.99615385,0.99729022,0.00537106,0.00297805,0.02620853,-1.28914563,-1.99190189,0.00742621,-3.22992047,0.37351399,0.00048429
53,0.00865061,0.00937582,0.99737763,0.99702798,0.00540330,0.00299870,0.03061393,-1.28769729,-1.99337361,0.00798366,-3.23135185,0.37726024,0.00046860
54,0.00334741,0.00185726,0.99912588,0.99938811,0.00523317,0.00276637,0.02145092,-1.28955426,-1.98994163,0.00755769,-3.24800852,0.36298701,0.00045295
55,0.00482933,0.00591651,0.99851399,0.99833916,0.00513865,0.00266418,0.02711628,-1.28851745,-1.99329738,0.00659975,-3.24310826,0.36254995,0.00043733
56,0.00622765,0.00420814,0.99807693,0.99877623,0.00511480,0.00263221,0.03579247,-1.28792062,-1.99477895,0.00702902,-3.23959153,0.37818432,0.00042178
57,0.00112668,0.00116266,0.99973776,0.99965035,0.00462919,0.00187069,0.02428044,-1.28875305,-1.99377355,0.00516626,-3.25643091,0.34836414,0.00040631
58,0.00096765,0.00092967,0.99973776,0.99982518,0.00471716,0.00195464,0.03217386,-1.28850653,-1.99457478,0.00534474,-3.25308050,0.33886114,0.00039093
59,0.00094193,0.00088299,0.99965035,0.99947553,0.00463581,0.00179475,0.03646881,-1.28836091,-1.99461121,0.00536327,-3.25111894,0.33687562,0.00037566
60,0.00287806,0.00245600,0.99930070,0.99947553,0.00467580,0.00188566,0.02610452,-1.28822236,-1.99569492,0.00555619,-3.25341329,0.34285714,0.00036050
61,0.00008989,0.00004331,1.00000000,1.00000000,0.00438456,0.00138241,0.02915901,-1.28874294,-1.99554972,0.00454928,-3.25926368,0.32331419,0.00034549
62,0.00176996,0.00211442,0.99956294,0.99938811,0.00444508,0.00147045,0.02818993,-1.28913044,-1.99324988,0.00458266,-3.25390276,0.32112887,0.00033063
63,0.00193481,0.00184480,0.99965035,0.99973776,0.00436310,0.00136210,0.02525085,-1.28853350,-1.99573286,0.00435546,-3.25778066,0.31011489,0.00031594
64,0.00126551,0.00119367,0.99965035,0.99965035,0.00443171,0.00149600,0.02672026,-1.28879323,-1.99567263,0.00457337,-3.25814545,0.31683317,0.00030143
65,0.00120473,0.00108970,0.99956294,0.99973776,0.00441948,0.00142637,0.02848485,-1.28855134,-1.99557659,0.00459618,-3.25714903,0.30942807,0.00028711
66,0.00006750,0.00004788,1.00000000,1.00000000,0.00425027,0.00114543,0.02893203,-1.28935516,-1.99434653,0.00400611,-3.25971848,0.30580669,0.00027300
67,0.00214686,0.00206613,0.99965035,0.99965035,0.00428003,0.00121240,0.02614417,-1.28916155,-1.99527879,0.00400244,-3.25766039,0.30187313,0.00025912
68,0.00007412,0.00002918,1.00000000,1.00000000,0.00416694,0.00098363,0.02391027,-1.28874346,-1.99646746,0.00376347,-3.26423843,0.30038711,0.00024548
69,0.00007226,0.00005394,1.00000000,1.00000000,0.00416414,0.00096564,0.02425212,-1.28911212,-1.99615807,0.00365199,-3.26423614,0.29737762,0.00023209
70,0.00008840,0.00003648,1.00000000,1.00000000,0.00423388,0.00112740,0.02696775,-1.28886874,-1.99613125,0.00364278,-3.26238715,0.29488012,0.00021896
71,0.00006297,0.00005788,1.00000000,1.00000000,0.00418226,0.00100050,0.02720166,-1.28918008,-1.99630727,0.00353397,-3.26304892,0.29430569,0.00020611
72,0.00039258,0.00024784,0.99982518,0.99991259,0.00422743,0.00106157,0.02780740,-1.28906738,-1.99601025,0.00362794,-3.26161658,0.29228272,0.00019355
73,0.00039677,0.00023651,0.99991259,0.99991259,0.00410433,0.00087386,0.02085319,-1.28891989,-1.99607583,0.00335591,-3.26560175,0.28954795,0.00018129
74,0.00007625,0.00002611,1.00000000,1.00000000,0.00405477,0.00077275,0.01773726,-1.28964388,-1.99503853,0.00328506,-3.26759882,0.28590160,0.00016934
75,0.00003526,0.00001280,1.00000000,1.00000000,0.00397529,0.00063938,0.01322562,-1.28917532,-1.99660842,0.00295556,-3.27155263,0.27599900,0.00015773
76,0.00005763,0.00000747,1.00000000,1.00000000,0.00401462,0.00069718,0.01181041,-1.28916943,-1.99677531,0.00304362,-3.27221900,0.27607393,0.00014645
77,0.00003248,0.00001348,1.00000000,1.00000000,0.00399599,0.00065890,0.01681164,-1.28978226,-1.99482735,0.00304380,-3.26845913,0.27687313,0.00013552
78,0.00003013,0.00000847,1.00000000,1.00000000,0.00394924,0.00060539,0.02237009,-1.28923236,-1.99590920,0.00289055,-3.26647272,0.27177822,0.00012494
79,0.00004182,0.00000954,1.00000000,1.00000000,0.00391572,0.00054321,0.01143314,-1.28926136,-1.99675812,0.00270321,-3.27308940,0.26890609,0.00011474
80,0.00004414,0.00000597,1.00000000,1.00000000,0.00391509,0.00054046,0.01332398,-1.28939842,-1.99670663,0.00258606,-3.27235131,0.26500999,0.00010492
81,0.00004616,0.00001106,1.00000000,1.00000000,0.00392038,0.00055366,0.00938061,-1.28940788,-1.99678495,0.00268051,-3.27429073,0.26795704,0.00009549
82,0.00002648,0.00000634,1.00000000,1.00000000,0.00387436,0.00047657,0.01361795,-1.28990117,-1.99563045,0.00249196,-3.27184692,0.26186314,0.00008646
83,0.00002386,0.00000772,1.00000000,1.00000000,0.00387078,0.00047298,0.01090906,-1.28933517,-1.99687368,0.00240764,-3.27397135,0.26163836,0.00007784
84,0.00004270,0.00000673,1.00000000,1.00000000,0.00385188,0.00043612,0.00657405,-1.28947270,-1.99702077,0.00234842,-3.27652059,0.25892857,0.00006963
85,0.00001876,0.00000565,1.00000000,1.00000000,0.00383464,0.00041385,0.00932025,-1.28954775,-1.99690695,0.00228095,-3.27524069,0.25826673,0.00006185
86,0.00002065,0.00000915,1.00000000,1.00000000,0.00383170,0.00040228,0.00719662,-1.28946615,-1.99707295,0.00221768,-3.27645932,0.25417083,0.00005450
87,0.00005966,0.00000729,1.00000000,1.00000000,0.00383209,0.00041201,0.00706995,-1.28954271,-1.99694288,0.00224284,-3.27639670,0.25831668,0.00004759
88,0.00001899,0.00001011,1.00000000,1.00000000,0.00381990,0.00039005,0.00936504,-1.28947469,-1.99710058,0.00222289,-3.27543082,0.25820430,0.00004112
89,0.00001863,0.00000744,1.00000000,1.00000000,0.00381739,0.00038222,0.01018703,-1.28953797,-1.99690872,0.00217337,-3.27495411,0.25566933,0.00003511
90,0.00001936,0.00000582,1.00000000,1.00000000,0.00380244,0.00035702,0.00773939,-1.28967286,-1.99688421,0.00209421,-3.27640852,0.25367133,0.00002956
91,0.00001852,0.00000548,1.00000000,1.00000000,0.00379707,0.00034336,0.00731706,-1.28965476,-1.99701215,0.00202501,-3.27681894,0.25153596,0.00002447
92,0.00001796,0.00000561,1.00000000,1.00000000,0.00379826,0.00034571,0.00637110,-1.28965561,-1.99704200,0.00201936,-3.27732514,0.25187313,0.00001985
93,0.00002791,0.00000488,1.00000000,1.00000000,0.00378986,0.00033351,0.00652393,-1.28971458,-1.99703014,0.00202355,-3.27730303,0.25118631,0.00001571
94,0.00001683,0.00000456,1.00000000,1.00000000,0.00378692,0.00032752,0.00583860,-1.28970078,-1.99710283,0.00197861,-3.27776987,0.24963786,0.00001204
95,0.00001702,0.00000517,1.00000000,1.00000000,0.00378508,0.00032180,0.00713130,-1.28972138,-1.99705226,0.00194687,-3.27713203,0.24953796,0.00000886
96,0.00001701,0.00000514,1.00000000,1.00000000,0.00378212,0.00031781,0.00598657,-1.28970431,-1.99713259,0.00194289,-3.27777862,0.24968781,0.00000616
97,0.00001808,0.00000535,1.00000000,1.00000000,0.00378413,0.00031717,0.00581919,-1.28972009,-1.99710566,0.00191433,-3.27787709,0.24851399,0.00000394
98,0.00001780,0.00000526,1.00000000,1.00000000,0.00378053,0.00031326,0.00610342,-1.28973179,-1.99710632,0.00191522,-3.27775431,0.24850150,0.00000222
99,0.00001797,0.00000538,1.00000000,1.00000000,0.00378112,0.00031227,0.00533364,-1.28973164,-1.99712191,0.00191080,-3.27815917,0.24816434,0.00000099
100,0.00001822,0.00000542,1.00000000,1.00000000,0.00378020,0.00031293,0.00544669,-1.28972955,-1.99713135,0.00190556,-3.27811521,0.24802697,0.00000025
